date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1928-07-01,57769,57799,57767,56639
1928-07-02,50878,50908,50879,49861
1928-07-03,46994,47024,46984,46219
1928-07-04,45710,45740,45671,45121
1928-07-05,42466,42496,42425,41992
1928-07-06,43747,43777,43721,43410
1928-07-07,40356,40386,40343,40184
1928-07-08,40315,40345,40307,40202
1928-07-09,40475,40505,40479,40244
1928-07-10,38273,38303,38297,37675
1928-07-11,34546,34576,34576,34150
1928-07-12,34169,34199,34207,33980
1928-07-13,32958,32988,32999,32879
1928-07-14,34662,34692,34708,34615
1928-07-15,34601,34631,34647,34490
1928-07-16,34765,34795,34807,34495
1928-07-17,34533,34563,34577,34427
1928-07-18,31714,31744,31759,31674
1928-07-19,32657,32687,32705,32525
1928-07-20,32206,32236,32255,32061
1928-07-21,30118,30148,30168,29955
1928-07-22,30866,30896,30922,30774
1928-07-23,29989,30019,30052,29966
1928-07-24,29431,29461,29499,29447
1928-07-25,30166,30196,30236,30129
1928-07-26,28890,28920,28963,28855
1928-07-27,27758,27788,27831,27773
1928-07-28,27301,27331,27374,27326
1928-07-29,25784,25814,25857,25777
1928-07-30,24494,24524,24569,24310
1928-07-31,23120,23150,23197,23025
1928-08-01,20897,20917,20966,20965
1928-08-02,20591,20611,20660,20703
1928-08-03,20282,20302,20351,20402
1928-08-04,20935,20955,21004,20997
1928-08-05,20314,20334,20384,20384
1928-08-06,20488,20508,20558,20688
1928-08-07,20013,20033,20083,20075
1928-08-08,19696,19716,19767,19700
1928-08-09,20516,20536,20586,20595
1928-08-10,17894,17914,17964,17989
1928-08-11,18656,18676,18727,18661
1928-08-12,18576,18596,18648,18565
1928-08-13,18139,18159,18210,18176
1928-08-14,18061,18081,18132,18115
1928-08-15,17886,17906,17957,17882
1928-08-16,18118,18138,18189,18130
1928-08-17,16236,16256,16307,16272
1928-08-18,16727,16747,16799,16796
1928-08-19,17320,17340,17392,17450
1928-08-20,18211,18231,18284,18275
1928-08-21,17670,17690,17742,17683
1928-08-22,17080,17100,17153,17162
1928-08-23,16942,16962,17016,17065
1928-08-24,17513,17533,17587,17673
1928-08-25,17025,17045,17099,17257
1928-08-26,17926,17946,18000,18068
1928-08-27,16860,16880,16930,16937
1928-08-28,18995,19015,19051,19047
1928-08-29,16615,16635,16672,16714
1928-08-30,17053,17073,17114,17153
1928-08-31,16189,16209,16255,16215
1928-09-01,18915,18925,18946,18890
1928-09-02,19299,19309,19332,19377
1928-09-03,17952,17962,17987,17984
1928-09-04,18797,18807,18832,18833
1928-09-05,18221,18231,18256,18223
1928-09-06,17929,17939,17966,17974
1928-09-07,18264,18274,18301,18330
1928-09-08,17803,17813,17837,17840
1928-09-09,17331,17341,17351,17431
1928-09-10,18425,18435,18435,18719
1928-09-11,19807,19817,19814,19973
1928-09-12,18741,18751,18737,18720
1928-09-13,19818,19828,19780,19918
1928-09-14,18549,18559,18505,18778
1928-09-15,19616,19626,19594,19545
1928-09-16,18759,18769,18747,18758
1928-09-17,18881,18891,18879,18843
1928-09-18,19129,19139,19127,19098
1928-09-19,17977,17987,17980,17962
1928-09-20,17125,17135,17124,17167
1928-09-21,18681,18691,18680,18677
1928-09-22,17955,17965,17964,17979
1928-09-23,18233,18243,18240,18173
1928-09-24,17484,17494,17491,17487
1928-09-25,16514,16524,16518,16667
1928-09-26,17046,17056,17046,17190
1928-09-27,16024,16034,16021,15951
1928-09-28,15759,15769,15757,15769
1928-09-29,15942,15952,15942,16001
1928-09-30,15943,15953,15939,15849
1928-10-01,21770,21770,21708,21496
1928-10-02,21508,21508,21471,21665
1928-10-03,19510,19510,19472,19644
1928-10-04,23173,23173,23129,23438
1928-10-05,26083,26083,26035,26209
1928-10-06,26505,26505,26460,26627
1928-10-07,24227,24227,24181,24215
1928-10-08,24845,24845,24798,25201
1928-10-09,24320,24320,24267,24254
1928-10-10,21670,21670,21624,21425
1928-10-11,17742,17742,17680,18194
1928-10-12,19901,19901,19845,20145
1928-10-13,16365,16365,16308,16072
1928-10-14,15704,15704,15643,15704
1928-10-15,15737,15737,15672,15732
1928-10-16,16374,16374,16302,16487
1928-10-17,15462,15462,15376,15706
1928-10-18,19948,19948,19865,20318
1928-10-19,20677,20677,20592,20532
1928-10-20,19294,19294,19210,18927
1928-10-21,17477,17477,17397,17254
1928-10-22,15332,15332,15252,15232
1928-10-23,17945,17945,17871,17893
1928-10-24,19276,19276,19196,19028
1928-10-25,16479,16479,16399,16236
1928-10-26,14386,14386,14306,14239
1928-10-27,17402,17402,17322,17401
1928-10-28,20193,20193,20113,20139
1928-10-29,16470,16470,16391,16335
1928-10-30,16570,16570,16487,16419
1928-10-31,18612,18612,18529,18590
1928-11-01,17873,17873,17785,18182
1928-11-02,19578,19578,19489,19438
1928-11-03,19055,19055,18965,18913
1928-11-04,17372,17372,17282,17256
1928-11-05,16858,16858,16775,16896
1928-11-06,20065,20065,19982,20129
1928-11-07,19160,19160,19070,18942
1928-11-08,18135,18135,18050,17721
1928-11-09,15930,15930,15821,15715
1928-11-10,16230,16230,16027,16563
1928-11-11,17654,17654,17461,17835
1928-11-12,19766,19766,19592,19365
1928-11-13,17451,17451,17284,17164
1928-11-14,18005,18005,17840,17872
1928-11-15,20016,20016,19861,20016
1928-11-16,23805,23805,23641,23301
1928-11-17,26466,26466,26308,25768
1928-11-18,25720,25720,25563,25146
1928-11-19,26727,26727,26574,26277
1928-11-20,24811,24811,24659,24484
1928-11-21,24475,24475,24319,24253
1928-11-22,25304,25304,25126,25204
1928-11-23,24585,24585,24415,24346
1928-11-24,25753,25753,25584,25599
1928-11-25,25511,25511,25343,25429
1928-11-26,25550,25550,25375,25358
1928-11-27,26771,26771,26594,26636
1928-11-28,28055,28055,27876,27950
1928-11-29,27011,27011,26853,26779
1928-11-30,25511,25511,25403,25232
1928-12-01,21717,21717,21198,21013
1928-12-02,21242,21242,20730,20651
1928-12-03,20001,20001,19521,19319
