date,H (unit:cfs)
1928-07-01,65215
1928-07-02,58228
1928-07-03,53291
1928-07-04,50014
1928-07-05,47788
1928-07-06,45392
1928-07-07,44311
1928-07-08,43540
1928-07-09,42530
1928-07-10,40271
1928-07-11,37252
1928-07-12,35479
1928-07-13,34634
1928-07-14,34119
1928-07-15,33567
1928-07-16,31912
1928-07-17,30626
1928-07-18,30210
1928-07-19,29424
1928-07-20,28472
1928-07-21,27273
1928-07-22,26414
1928-07-23,25640
1928-07-24,25269
1928-07-25,24804
1928-07-26,24074
1928-07-27,23621
1928-07-28,23255
1928-07-29,22942
1928-07-30,22112
1928-07-31,20869
1928-08-01,20102
1928-08-02,19992
1928-08-03,20001
1928-08-04,19997
1928-08-05,20038
1928-08-06,19528
1928-08-07,20428
1928-08-08,20289
1928-08-09,20168
1928-08-10,19215
1928-08-11,19065
1928-08-12,18197
1928-08-13,18446
1928-08-14,17692
1928-08-15,17856
1928-08-16,17642
1928-08-17,17475
1928-08-18,17884
1928-08-19,17637
1928-08-20,17525
1928-08-21,17141
1928-08-22,16727
1928-08-23,16188
1928-08-24,16095
1928-08-25,16075
1928-08-26,16759
1928-08-27,17022
1928-08-28,16998
1928-08-29,17001
1928-08-30,16986
1928-08-31,17364
1928-09-01,17567
1928-09-02,16840
1928-09-03,16193
1928-09-04,16075
1928-09-05,16480
1928-09-06,16245
1928-09-07,16079
1928-09-08,16466
1928-09-09,16613
1928-09-10,16588
1928-09-11,16895
1928-09-12,16995
1928-09-13,17369
1928-09-14,17484
1928-09-15,18240
1928-09-16,18506
1928-09-17,18879
1928-09-18,18692
1928-09-19,18073
1928-09-20,18370
1928-09-21,18131
1928-09-22,18369
1928-09-23,18138
1928-09-24,17994
1928-09-25,18003
1928-09-26,17963
1928-09-27,18774
1928-09-28,18271
1928-09-29,18357
1928-09-30,18141
1928-10-01,17975
1928-10-02,18385
1928-10-03,18135
1928-10-04,18359
1928-10-05,18450
1928-10-06,20144
1928-10-07,20734
1928-10-08,21149
1928-10-09,21295
1928-10-10,21701
1928-10-11,22344
1928-10-12,23413
1928-10-13,24974
1928-10-14,24710
1928-10-15,24468
1928-10-16,25039
1928-10-17,25188
1928-10-18,25673
1928-10-19,26975
1928-10-20,28749
1928-10-21,28495
1928-10-22,27598
1928-10-23,26704
1928-10-24,27192
1928-10-25,27463
1928-10-26,26811
1928-10-27,25997
1928-10-28,26421
1928-10-29,26611
1928-10-30,26647
1928-10-31,26020
1928-11-01,26422
1928-11-02,26614
1928-11-03,26599
1928-11-04,26600
1928-11-05,26600
1928-11-06,26602
1928-11-07,26571
1928-11-08,27243
1928-11-09,26792
1928-11-10,26593
1928-11-11,26579
1928-11-12,27218
1928-11-13,27417
1928-11-14,27399
1928-11-15,27400
1928-11-16,27395
1928-11-17,27475
1928-11-18,26406
1928-11-19,23659
1928-11-20,22140
1928-11-21,21464
1928-11-22,20854
1928-11-23,20188
1928-11-24,20535
1928-11-25,20697
1928-11-26,21151
1928-11-27,21314
1928-11-28,21296
1928-11-29,21343
1928-11-30,20813
1928-12-01,20738
1928-12-02,20218
1928-12-03,20095
1928-12-04,20096
1928-12-05,20155
1928-12-06,19433
1928-12-07,17097
1928-12-08,16189
1928-12-09,16155
1928-12-10,23229
1928-12-11,20367
1928-12-12,20379
1928-12-13,21851
1928-12-14,21885
1928-12-15,22371
1928-12-16,22049
1928-12-17,22284
1928-12-18,23115
1928-12-19,22095
1928-12-20,22787
1928-12-21,22435
1928-12-22,19917
1928-12-23,19476
1928-12-24,19480
1928-12-25,19970
1928-12-26,19543
1928-12-27,21144
